CompanyName, CompanyNumber,RegAddress.CareOf,RegAddress.POBox,RegAddress.AddressLine1, RegAddress.AddressLine2,RegAddress.PostTown,RegAddress.County,RegAddress.Country,RegAddress.PostCode,CompanyCategory,CompanyStatus,CountryOfOrigin,DissolutionDate,IncorporationDate,Accounts.AccountRefDay,Accounts.AccountRefMonth,Accounts.NextDueDate,Accounts.LastMadeUpDate,Accounts.AccountCategory,Returns.NextDueDate,Returns.LastMadeUpDate,Mortgages.NumMortCharges,Mortgages.NumMortOutstanding,Mortgages.NumMortPartSatisfied,Mortgages.NumMortSatisfied,SICCode.SicText_1,SICCode.SicText_2,SICCode.SicText_3,SICCode.SicText_4,LimitedPartnerships.NumGenPartners,LimitedPartnerships.NumLimPartners,URI,PreviousName_1.CONDATE, PreviousName_1.CompanyName, PreviousName_2.CONDATE, PreviousName_2.CompanyName,, PreviousName_3.CompanyName,PreviousName_4.CONDATE, PreviousName_4.CompanyName,PreviousName_5.CONDATE, PreviousName_5.CompanyName,PreviousName_6.CONDATE, PreviousName_6.CompanyName,PreviousName_7.CONDATE, PreviousName_7.CompanyName,PreviousName_8.CONDATE, PreviousName_8.CompanyName,PreviousName_9.CONDATE, PreviousName_9.CompanyName,PreviousName_10.CONDATE, PreviousName_10.CompanyName,ConfStmtNextDueDate, ConfStmtLastMadeUpDate
!? LTD,11399177,,,THE STUDIO HATHERLOW HOUSE,HATHERLOW,ROMILEY,,UNITED KINGDOM,SK6 3DY,Private Limited Company,Active,United Kingdom,,05-06-2018,30,6,31-03-2023,30-06-2021,TOTAL EXEMPTION FULL,03-07-2019,,0,0,0,0,47710 - Retail sale of clothing in specialised stores,,,,0,0,http://business.data.gov.uk/id/company/11399177,,,,,,,,,,,,,,,,,,,,,19-06-2023,05-06-2022
"""FEEL THE WRATH' LONDON LTD",13379051,,,"111, COTEFORD STREET","COTEFORD STREET, TOOTING",LONDON,,UNITED KINGDOM,SW17 8NX,Private Limited Company,Active,United Kingdom,,06-05-2021,31,5,06-02-2023,,NO ACCOUNTS FILED,03-06-2022,,0,0,0,0,47710 - Retail sale of clothing in specialised stores,,,,0,0,http://business.data.gov.uk/id/company/13379051,,,,,,,,,,,,,,,,,,,,,19-05-2023,05-05-2022
$ANTOS LTD,13818158,,,43 43 WARMWELL AVENUE,,LONDON,,UNITED KINGDOM,NW9 5DB,Private Limited Company,Active,United Kingdom,,25-12-2021,31,12,25-09-2023,,NO ACCOUNTS FILED,22-01-2023,,0,0,0,0,47710 - Retail sale of clothing in specialised stores,,,,0,0,http://business.data.gov.uk/id/company/13818158,,,,,,,,,,,,,,,,,,,,,07-01-2023,
& AGAIN CLOTHING LTD,13925097,,,4 CARTERS CLOSE,,STEVENAGE,HERTFORDSHIRE,ENGLAND,SG2 9QA,Private Limited Company,Active,United Kingdom,,18-02-2022,28,2,18-11-2023,,NO ACCOUNTS FILED,18-03-2023,,0,0,0,0,47710 - Retail sale of clothing in specialised stores,,,,0,0,http://business.data.gov.uk/id/company/13925097,,,,,,,,,,,,,,,,,,,,,03-03-2023,
& BLANC LIMITED,9619569,,,128 CITY ROAD,CITY ROAD,LONDON,,ENGLAND,EC1V 2NX,Private Limited Company,Active,United Kingdom,,02-06-2015,30,6,31-03-2023,30-06-2021,DORMANT,30-06-2017,02-06-2016,0,0,0,0,47710 - Retail sale of clothing in specialised stores,,,,0,0,http://business.data.gov.uk/id/company/09619569,,,,,,,,,,,,,,,,,,,,,15-06-2023,01-06-2022
& CO DESIGN LIMITED,12434675,,,2 CROOK STREET,,CHESTER,,ENGLAND,CH1 2BE,Private Limited Company,Active,United Kingdom,,30-01-2020,31,10,31-07-2024,31-10-2022,TOTAL EXEMPTION FULL,27-02-2021,,0,0,0,0,47710 - Retail sale of clothing in specialised stores,,,,0,0,http://business.data.gov.uk/id/company/12434675,,,,,,,,,,,,,,,,,,,,,12-02-2023,29-01-2022
&? CLOTHING LTD,13992022,,,3 FIELDSIDE CLOSE,,STOCKPORT,GREATER MANCHESTER,UNITED KINGDOM,SK7 1JD,Private Limited Company,Active,United Kingdom,,21-03-2022,31,3,21-12-2023,,NO ACCOUNTS FILED,18-04-2023,,0,0,0,0,47710 - Retail sale of clothing in specialised stores,,,,0,0,http://business.data.gov.uk/id/company/13992022,,,,,,,,,,,,,,,,,,,,,03-04-2023,
&ME-ONLINE LIMITED,12875287,,,KINGSCOTT DIX CHELTENHAM LTD,MALVERN VIEW BUSINESS PARK,"STELLA WAY, BISHOPS CLEEVE",,UNITED KINGDOM,GL52 7DQ,Private Limited Company,Active,United Kingdom,,13-09-2020,30,9,30-06-2023,30-09-2021,MICRO ENTITY,11-10-2021,,0,0,0,0,47710 - Retail sale of clothing in specialised stores,,,,0,0,http://business.data.gov.uk/id/company/12875287,,,,,,,,,,,,,,,,,,,,,26-09-2023,12-09-2022
&SONS TRADING COMPANY LIMITED,9988464,,,MIDWAY HOUSE HERRICK WAY,STAVERTON,CHELTENHAM,GLOUCESTERSHIRE,ENGLAND,GL51 6TQ,Private Limited Company,Active,United Kingdom,,04-02-2016,31,12,30-09-2023,31-12-2021,TOTAL EXEMPTION FULL,04-03-2017,,1,1,0,0,47710 - Retail sale of clothing in specialised stores,47721 - Retail sale of footwear in specialised stores,,,0,0,http://business.data.gov.uk/id/company/09988464,,,,,,,,,,,,,,,,,,,,,17-02-2023,03-02-2022
&THEM LTD,13798522,,,104 GIBSON GARDENS,,LONDON,,ENGLAND,N16 7HD,Private Limited Company,Active,United Kingdom,,13-12-2021,31,12,13-09-2023,,NO ACCOUNTS FILED,10-01-2023,,0,0,0,0,47710 - Retail sale of clothing in specialised stores,,,,0,0,http://business.data.gov.uk/id/company/13798522,,,,,,,,,,,,,,,,,,,,,26-12-2022,
'DIDA LTD,14412751,,,64 NILE STREET,,LONDON,,ENGLAND,N1 7SR,Private Limited Company,Active,United Kingdom,,11-10-2022,31,10,11-07-2024,,NO ACCOUNTS FILED,08-11-2023,,0,0,0,0,47710 - Retail sale of clothing in specialised stores,,,,0,0,http://business.data.gov.uk/id/company/14412751,,,,,,,,,,,,,,,,,,,,,24-10-2023,
'MMD' MONEY MOTIVATED LTD,14463298,,,10 SELBORNE ROAD,,LONDON,,UNITED KINGDOM,N22 7TL,Private Limited Company,Active,United Kingdom,,04-11-2022,30,11,04-08-2024,,NO ACCOUNTS FILED,02-12-2023,,0,0,0,0,47710 - Retail sale of clothing in specialised stores,,,,0,0,http://business.data.gov.uk/id/company/14463298,,,,,,,,,,,,,,,,,,,,,17-11-2023,
'WALK IN STYLE' LIMITED,1489621,,,34 BINGLEY ROAD,SALTAIRE,SHIPLEY,WEST YORKS,,BD18 4RU,Private Limited Company,Active,United Kingdom,,08-04-1980,31,1,31-10-2023,31-01-2022,MICRO ENTITY,12-01-2017,15-12-2015,0,0,0,0,47710 - Retail sale of clothing in specialised stores,47721 - Retail sale of footwear in specialised stores,47722 - Retail sale of leather goods in specialised stores,,0,0,http://business.data.gov.uk/id/company/01489621,,,,,,,,,,,,,,,,,,,,,29-12-2022,15-12-2021
(B)APETABEANS LIMITED,14021913,,,38 KINGSWOOD,,ASCOT,,ENGLAND,SL5 8AN,Private Limited Company,Active,United Kingdom,,04-04-2022,30,4,04-01-2024,,NO ACCOUNTS FILED,02-05-2023,,0,0,0,0,47710 - Retail sale of clothing in specialised stores,56101 - Licensed restaurants,56102 - Unlicensed restaurants and cafes,,0,0,http://business.data.gov.uk/id/company/14021913,,,,,,,,,,,,,,,,,,,,,17-04-2023,
(B)APETADOGS LIMITED,14023002,,,38 KINGSWOOD,,ASCOT,,ENGLAND,SL5 8AN,Private Limited Company,Active,United Kingdom,,04-04-2022,30,4,04-01-2024,,NO ACCOUNTS FILED,02-05-2023,,0,0,0,0,47710 - Retail sale of clothing in specialised stores,56101 - Licensed restaurants,56102 - Unlicensed restaurants and cafes,,0,0,http://business.data.gov.uk/id/company/14023002,,,,,,,,,,,,,,,,,,,,,17-04-2023,
(B)APETAVERSE #1793 LIMITED,14022290,,,38 KINGSWOOD,,ASCOT,,ENGLAND,SL5 8AN,Private Limited Company,Active,United Kingdom,,04-04-2022,30,4,04-01-2024,,NO ACCOUNTS FILED,02-05-2023,,0,0,0,0,47710 - Retail sale of clothing in specialised stores,56101 - Licensed restaurants,56102 - Unlicensed restaurants and cafes,,0,0,http://business.data.gov.uk/id/company/14022290,,,,,,,,,,,,,,,,,,,,,17-04-2023,
(B)EANS PROJECT LTD,14042997,,,38 KINGSWOOD,,ASCOT,,ENGLAND,SL5 8AN,Private Limited Company,Active,United Kingdom,,12-04-2022,30,4,12-01-2024,,NO ACCOUNTS FILED,10-05-2023,,0,0,0,0,47710 - Retail sale of clothing in specialised stores,56101 - Licensed restaurants,56102 - Unlicensed restaurants and cafes,,0,0,http://business.data.gov.uk/id/company/14042997,,,,,,,,,,,,,,,,,,,,,25-04-2023,
(NO BRAND) LTD,11307237,,,CALLIS MILL WOODLAND VIEW,HALIFAX ROAD,HEBDEN BRIDGE,WEST YORKSHIRE,ENGLAND,HX7 6PJ,Private Limited Company,Active,United Kingdom,,12-04-2018,30,4,31-01-2023,30-04-2021,MICRO ENTITY,10-05-2019,,0,0,0,0,47710 - Retail sale of clothing in specialised stores,,,,0,0,http://business.data.gov.uk/id/company/11307237,,,,,,,,,,,,,,,,,,,,,25-04-2023,11-04-2022
(R)EDEFINE CLOTHING LIMITED,14026976,,,APARTMENT 37 CITY NORTH EAST TOWER,3 CITY NORTH PLACE,LONDON,,ENGLAND,N4 3FQ,Private Limited Company,Active,United Kingdom,,05-04-2022,30,4,05-01-2024,,NO ACCOUNTS FILED,03-05-2023,,0,0,0,0,47710 - Retail sale of clothing in specialised stores,,,,0,0,http://business.data.gov.uk/id/company/14026976,,,,,,,,,,,,,,,,,,,,,18-04-2023,
01278033 LIMITED,1278033,,,THE OLD EXCHANGE,234 SOUTHCHURCH ROAD,SOUTHEND ON SEA,,,SS1 2EG,Private Limited Company,Liquidation,United Kingdom,,21-09-1976,31,10,31-07-2015,31-10-2013,TOTAL EXEMPTION SMALL,06-12-2015,08-11-2014,3,2,0,1,47710 - Retail sale of clothing in specialised stores,,,,0,0,http://business.data.gov.uk/id/company/01278033,08-07-2021,AMERICAN PIE LIMITED,,,,,,,,,,,,,,,,,,,22-11-2016,
0NLY MZ CLOTHING LIMITED,14484313,,,247 KINGSTON ROAD,,ILFORD,,UNITED KINGDOM,IG1 1PG,Private Limited Company,Active,United Kingdom,,15-11-2022,30,11,15-08-2024,,NO ACCOUNTS FILED,13-12-2023,,0,0,0,0,47710 - Retail sale of clothing in specialised stores,,,,0,0,http://business.data.gov.uk/id/company/14484313,,,,,,,,,,,,,,,,,,,,,28-11-2023,
1 HC LIMITED,14406644,,,72 DUNSPRING LANE,,ILFORD,,ENGLAND,IG5 0UB,Private Limited Company,Active,United Kingdom,,09-10-2022,31,10,09-07-2024,,NO ACCOUNTS FILED,06-11-2023,,0,0,0,0,47710 - Retail sale of clothing in specialised stores,,,,0,0,http://business.data.gov.uk/id/company/14406644,,,,,,,,,,,,,,,,,,,,,22-10-2023,
1 HUNDY LIMITED,13346359,,,FLAT 5 RED GABLES,ST. GEORGES LANE,ASCOT,,ENGLAND,SL5 7FW,Private Limited Company,Active,United Kingdom,,20-04-2021,30,4,20-01-2023,,NO ACCOUNTS FILED,18-05-2022,,0,0,0,0,47710 - Retail sale of clothing in specialised stores,,,,0,0,http://business.data.gov.uk/id/company/13346359,,,,,,,,,,,,,,,,,,,,,03-05-2023,19-04-2022
1 STOP SCHOOL SHOP LTD,12147750,,,C/O BUSINESSRESCUEEXPERT,49 DUKE STREET,DARLINGTON,,,DL3 7SD,Private Limited Company,Liquidation,United Kingdom,,09-08-2019,31,8,31-05-2022,31-08-2020,DORMANT,06-09-2020,,0,0,0,0,47710 - Retail sale of clothing in specialised stores,47721 - Retail sale of footwear in specialised stores,,,0,0,http://business.data.gov.uk/id/company/12147750,,,,,,,,,,,,,,,,,,,,,22-08-2022,08-08-2021
1 STOP STONE SHOP LTD,8170531,,,9 VICTORIA ROAD,FULWOOD,PRESTON,LANCASHIRE,,PR2 8ND,Private Limited Company,Active,United Kingdom,,07-08-2012,31,8,31-05-2023,31-08-2021,MICRO ENTITY,04-09-2016,07-08-2015,0,0,0,0,47510 - Retail sale of textiles in specialised stores,,,,0,0,http://business.data.gov.uk/id/company/08170531,,,,,,,,,,,,,,,,,,,,,21-08-2023,07-08-2022
1 WELLINGTON PLACE LIMITED,2582558,,,LYNTON HOUSE,7-12 TAVISTOCK SQUARE,LONDON,,,WC1H 9BQ,Private Limited Company,Active,United Kingdom,,14-02-1991,30,9,30-06-2023,30-09-2021,TOTAL EXEMPTION FULL,15-03-2017,15-02-2016,3,1,0,2,47710 - Retail sale of clothing in specialised stores,,,,0,0,http://business.data.gov.uk/id/company/02582558,,,,,,,,,,,,,,,,,,,,,01-03-2023,15-02-2022
10 LDN LIMITED,12932989,,,1 FERNBANK HIGH STREET,EYNSFORD,DARTFORD,,ENGLAND,DA4 0AU,Private Limited Company,Active,United Kingdom,,06-10-2020,31,10,31-07-2023,31-10-2021,MICRO ENTITY,03-11-2021,,0,0,0,0,47710 - Retail sale of clothing in specialised stores,,,,0,0,http://business.data.gov.uk/id/company/12932989,,,,,,,,,,,,,,,,,,,,,19-10-2023,05-10-2022
100 HIGH STREET LIMITED,9663690,,,100 HIGH STREET,,TEDDINGTON,MIDDLESEX,UNITED KINGDOM,TW11 8JD,Private Limited Company,Active,United Kingdom,,30-06-2015,31,8,31-05-2023,31-08-2021,TOTAL EXEMPTION FULL,28-07-2016,,0,0,0,0,47710 - Retail sale of clothing in specialised stores,,,,0,0,http://business.data.gov.uk/id/company/09663690,,,,,,,,,,,,,,,,,,,,,14-07-2023,30-06-2022
100M + LIMITED,SC729834,,,JAVID HOUSE,115 BATH STREET,GLASGOW,,SCOTLAND,G2 2SZ,Private Limited Company,Active,United Kingdom,,19-04-2022,30,4,19-01-2024,,NO ACCOUNTS FILED,17-05-2023,,0,0,0,0,47710 - Retail sale of clothing in specialised stores,,,,0,0,http://business.data.gov.uk/id/company/SC729834,,,,,,,,,,,,,,,,,,,,,02-05-2023,
101STT LTD,13065952,,,HYST,161 HIGH ST,HULL,,ENGLAND,HU1 1NQ,Private Limited Company,Active,United Kingdom,,06-12-2020,31,12,30-09-2023,31-12-2021,TOTAL EXEMPTION FULL,03-01-2022,,0,0,0,0,47710 - Retail sale of clothing in specialised stores,,,,0,0,http://business.data.gov.uk/id/company/13065952,23-07-2021,THEPERFORMANCELAB101 LTD,,,,,,,,,,,,,,,,,,,20-12-2022,06-12-2021
